=== RISC-V System/CSR Instructions Scan Results ===

--- Known CSR Instructions ---
Offset	Instruction	Decoded Instruction	Privilege Level	Use and Accessibility
0x00170630	0xCE2C9D73	CSRRW (rd=x26, csr=0xCE2, rs1/x=25)	Unprivileged and User-Level	Custom read-only
0x00170658	0x439D9873	CSRRW (rd=x16, csr=0x439, rs1/x=27)	Unprivileged and User-Level	Standard read/write
0x0017075C	0x93647273	CSRRCI (rd=x4, csr=0x936, rs1/x=8)	Supervisor-Level	Standard read/write
0x001709A0	0xBA1CBC73	CSRRC (rd=x24, csr=0xBA1, rs1/x=25)	Machine-Level	Standard read/write
0x001709EC	0x0E6BB473	CSRRC (rd=x8, csr=0x0E6, rs1/x=23)	Unprivileged and User-Level	Standard read/write
0x00170A68	0x349C57F3	CSRRWI (rd=x15, csr=0x349, rs1/x=24)	Machine-Level	Standard read/write
0x00170B48	0x3A0BD773	CSRRWI (rd=x14, csr=0x3A0, rs1/x=23)	Machine-Level	Standard read/write
0x00170B58	0x6F7F1C73	CSRRW (rd=x24, csr=0x6F7, rs1/x=30)	Hypervisor and VS	Custom read/write
0x00170B68	0xEE9C5773	CSRRWI (rd=x14, csr=0xEE9, rs1/x=24)	Hypervisor and VS	Custom read/write
0x00170BF0	0xCB711A73	CSRRW (rd=x20, csr=0xCB7, rs1/x=2)	Unprivileged and User-Level	Standard read-only
0x001710B4	0x0FC33EF3	CSRRC (rd=x29, csr=0x0FC, rs1/x=6)	Unprivileged and User-Level	Standard read/write
0x0017116C	0x58D2E373	CSRRSI (rd=x6, csr=0x58D, rs1/x=5)	Supervisor-Level	Standard read/write
0x00171368	0xD6C5DA73	CSRRWI (rd=x20, csr=0xD6C, rs1/x=11)	Supervisor-Level	Standard read-only
0x0017174C	0xD7631573	CSRRW (rd=x10, csr=0xD76, rs1/x=6)	Supervisor-Level	Standard read-only
0x001717F4	0x0EE39FF3	CSRRW (rd=x31, csr=0x0EE, rs1/x=7)	Unprivileged and User-Level	Standard read/write
0x00171800	0x169F1F73	CSRRW (rd=x30, csr=0x169, rs1/x=30)	Supervisor-Level	Standard read/write
0x001718C0	0x2E02F1F3	CSRRCI (rd=x3, csr=0x2E0, rs1/x=5)	Hypervisor and VS	Standard read/write
0x00171928	0x2147FBF3	CSRRCI (rd=x23, csr=0x214, rs1/x=15)	Hypervisor and VS	Standard read/write
0x00171E28	0x15B3E873	CSRRSI (rd=x16, csr=0x15B, rs1/x=7)	Supervisor-Level	Standard read/write
0x001722D8	0xDB90A7F3	CSRRS (rd=x15, csr=0xDB9, rs1/x=1)	Supervisor-Level	Standard read-only
0x001724D0	0x04E71CF3	CSRRW (rd=x25, csr=0x04E, rs1/x=14)	Unprivileged and User-Level	Standard read/write
0x001725B8	0x9F07DEF3	CSRRWI (rd=x29, csr=0x9F0, rs1/x=15)	Supervisor-Level	Custom read/write
0x001728BC	0xDAA792F3	CSRRW (rd=x5, csr=0xDAA, rs1/x=15)	Supervisor-Level	Standard read-only
0x00172A0C	0x44C7E073	CSRRSI (rd=x0, csr=0x44C, rs1/x=15)	Unprivileged and User-Level	Standard read/write
0x00172AB0	0x97E7D0F3	CSRRWI (rd=x1, csr=0x97E, rs1/x=15)	Supervisor-Level	Standard read/write
0x00172D28	0x2ADA99F3	CSRRW (rd=x19, csr=0x2AD, rs1/x=21)	Hypervisor and VS	Standard read/write
0x00172D90	0x7E04BFF3	CSRRC (rd=x31, csr=0x7E0, rs1/x=9)	Machine-Level	Custom read/write
0x00172DF8	0xA2B590F3	CSRRW (rd=x1, csr=0xA2B, rs1/x=11)	Hypervisor and VS	Standard read/write
0x00172EC0	0xF4BE1973	CSRRW (rd=x18, csr=0xF4B, rs1/x=28)	Machine-Level	Standard read-only
0x00173004	0xF47D9BF3	CSRRW (rd=x23, csr=0xF47, rs1/x=27)	Machine-Level	Standard read-only
0x001731C8	0xB236FA73	CSRRCI (rd=x20, csr=0xB23, rs1/x=13)	Machine-Level	Standard read/write
0x00173974	0x6ADAD0F3	CSRRWI (rd=x1, csr=0x6AD, rs1/x=21)	Hypervisor and VS	Standard read/write
0x0017397C	0xE81D21F3	CSRRS (rd=x3, csr=0xE81, rs1/x=26)	Hypervisor and VS	Standard read/write
0x00173AC4	0x07A7B573	CSRRC (rd=x10, csr=0x07A, rs1/x=15)	Unprivileged and User-Level	Standard read/write
0x00173C1C	0x9A1F3873	CSRRC (rd=x16, csr=0x9A1, rs1/x=30)	Supervisor-Level	Standard read/write
0x00174824	0x3EE6F5F3	CSRRCI (rd=x11, csr=0x3EE, rs1/x=13)	Machine-Level	Standard read/write
0x00174DEC	0xAC81AAF3	CSRRS (rd=x21, csr=0xAC8, rs1/x=3)	Hypervisor and VS	Custom read/write
0x00174F24	0xFCC0D573	CSRRWI (rd=x10, csr=0xFCC, rs1/x=1)	Machine-Level	Custom read/write
0x00174F58	0xC07AD0F3	CSRRWI (rd=x1, csr=0xC07, rs1/x=21)	Unprivileged and User-Level	Standard read-only
0x00174F5C	0x2DC7A0F3	CSRRS (rd=x1, csr=0x2DC, rs1/x=15)	Hypervisor and VS	Standard read/write
0x00175164	0xE3635FF3	CSRRWI (rd=x31, csr=0xE36, rs1/x=6)	Hypervisor and VS	Standard read-only
0x00175178	0x03E63773	CSRRC (rd=x14, csr=0x03E, rs1/x=12)	Unprivileged and User-Level	Standard read/write
0x00175294	0x65CE5BF3	CSRRWI (rd=x23, csr=0x65C, rs1/x=28)	Hypervisor and VS	Standard read/write
0x00175484	0x0772D7F3	CSRRWI (rd=x15, csr=0x077, rs1/x=5)	Unprivileged and User-Level	Standard read/write
0x00175908	0x7435EE73	CSRRSI (rd=x28, csr=0x743, rs1/x=11)	Machine-Level	Standard read/write
0x00175AFC	0xA93129F3	CSRRS (rd=x19, csr=0xA93, rs1/x=2)	Hypervisor and VS	Standard read/write
0x00175C88	0xE7C59DF3	CSRRW (rd=x27, csr=0xE7C, rs1/x=11)	Hypervisor and VS	Standard read-only
0x00175D20	0xDB3D5CF3	CSRRWI (rd=x25, csr=0xDB3, rs1/x=26)	Supervisor-Level	Standard read-only
0x00175DB4	0xF524DC73	CSRRWI (rd=x24, csr=0xF52, rs1/x=9)	Machine-Level	Standard read-only
0x00175EA0	0x03B66F73	CSRRSI (rd=x30, csr=0x03B, rs1/x=12)	Unprivileged and User-Level	Standard read/write
0x00176278	0x6F627E73	CSRRCI (rd=x28, csr=0x6F6, rs1/x=4)	Hypervisor and VS	Custom read/write
0x00176470	0xF58D2A73	CSRRS (rd=x20, csr=0xF58, rs1/x=26)	Machine-Level	Standard read-only
0x00176868	0xFEB09EF3	CSRRW (rd=x29, csr=0xFEB, rs1/x=1)	Machine-Level	Custom read/write
0x00176A94	0xECEBE373	CSRRSI (rd=x6, csr=0xECE, rs1/x=23)	Hypervisor and VS	Custom read/write
0x00176B84	0x5B77EE73	CSRRSI (rd=x28, csr=0x5B7, rs1/x=15)	Supervisor-Level	Standard read/write
0x00176E50	0x0C497BF3	CSRRCI (rd=x23, csr=0x0C4, rs1/x=18)	Unprivileged and User-Level	Standard read/write
0x00176F08	0x7AB956F3	CSRRWI (rd=x13, csr=0x7AB, rs1/x=18)	Machine-Level	Standard read/write/debug CSRs
0x00177050	0xA8A4F5F3	CSRRCI (rd=x11, csr=0xA8A, rs1/x=9)	Hypervisor and VS	Standard read/write
0x001770E0	0x4FB2D773	CSRRWI (rd=x14, csr=0x4FB, rs1/x=5)	Unprivileged and User-Level	Standard read/write
0x00177148	0x9E1F10F3	CSRRW (rd=x1, csr=0x9E1, rs1/x=30)	Supervisor-Level	Custom read/write
0x00177158	0x63F3D973	CSRRWI (rd=x18, csr=0x63F, rs1/x=7)	Hypervisor and VS	Standard read/write
0x0017725C	0x6B6214F3	CSRRW (rd=x9, csr=0x6B6, rs1/x=4)	Hypervisor and VS	Standard read/write
0x001772A4	0x3D83E4F3	CSRRSI (rd=x9, csr=0x3D8, rs1/x=7)	Machine-Level	Standard read/write
0x00177354	0xF7FDDF73	CSRRWI (rd=x30, csr=0xF7F, rs1/x=27)	Machine-Level	Standard read-only
0x00177720	0x793EF2F3	CSRRCI (rd=x5, csr=0x793, rs1/x=29)	Machine-Level	Standard read/write
0x001779D0	0x3D097A73	CSRRCI (rd=x20, csr=0x3D0, rs1/x=18)	Machine-Level	Standard read/write
0x00177B8C	0x8797E9F3	CSRRSI (rd=x19, csr=0x879, rs1/x=15)	Unprivileged and User-Level	Custom read/write
0x00177F64	0xEFF637F3	CSRRC (rd=x15, csr=0xEFF, rs1/x=12)	Hypervisor and VS	Custom read/write
0x00177F68	0x3F62D573	CSRRWI (rd=x10, csr=0x3F6, rs1/x=5)	Machine-Level	Standard read/write
0x00177F88	0xF89CF6F3	CSRRCI (rd=x13, csr=0xF89, rs1/x=25)	Machine-Level	Standard read/write
0x00178098	0x571912F3	CSRRW (rd=x5, csr=0x571, rs1/x=18)	Supervisor-Level	Standard read/write
0x00178104	0x2E72DDF3	CSRRWI (rd=x27, csr=0x2E7, rs1/x=5)	Hypervisor and VS	Standard read/write
0x001782A4	0x34E4F773	CSRRCI (rd=x14, csr=0x34E, rs1/x=9)	Machine-Level	Standard read/write
0x00178390	0x8A0C9CF3	CSRRW (rd=x25, csr=0x8A0, rs1/x=25)	Unprivileged and User-Level	Custom read/write
0x0017841C	0xB2D5A2F3	CSRRS (rd=x5, csr=0xB2D, rs1/x=11)	Machine-Level	Standard read/write
0x001785D8	0x09CC9BF3	CSRRW (rd=x23, csr=0x09C, rs1/x=25)	Unprivileged and User-Level	Standard read/write
0x001786BC	0xF9BE19F3	CSRRW (rd=x19, csr=0xF9B, rs1/x=28)	Machine-Level	Standard read/write
0x00178B6C	0x1D175C73	CSRRWI (rd=x24, csr=0x1D1, rs1/x=14)	Supervisor-Level	Standard read/write
0x00178E74	0x9FD370F3	CSRRCI (rd=x1, csr=0x9FD, rs1/x=6)	Supervisor-Level	Custom read/write
0x00179220	0x287E5BF3	CSRRWI (rd=x23, csr=0x287, rs1/x=28)	Hypervisor and VS	Standard read/write
0x001793E4	0x4CEB5F73	CSRRWI (rd=x30, csr=0x4CE, rs1/x=22)	Unprivileged and User-Level	Standard read/write
0x001796A4	0x3F61FC73	CSRRCI (rd=x24, csr=0x3F6, rs1/x=3)	Machine-Level	Standard read/write
0x00179744	0x0D7D9FF3	CSRRW (rd=x31, csr=0x0D7, rs1/x=27)	Unprivileged and User-Level	Standard read/write
0x00179770	0x56171E73	CSRRW (rd=x28, csr=0x561, rs1/x=14)	Supervisor-Level	Standard read/write
0x00179798	0x153438F3	CSRRC (rd=x17, csr=0x153, rs1/x=8)	Supervisor-Level	Standard read/write
0x00179BC0	0x9629D8F3	CSRRWI (rd=x17, csr=0x962, rs1/x=19)	Supervisor-Level	Standard read/write
0x00179E98	0xF37CE1F3	CSRRSI (rd=x3, csr=0xF37, rs1/x=25)	Machine-Level	Standard read-only
0x00179EAC	0x777B2D73	CSRRS (rd=x26, csr=0x777, rs1/x=22)	Machine-Level	Standard read/write
0x0017A408	0x9E549DF3	CSRRW (rd=x27, csr=0x9E5, rs1/x=9)	Supervisor-Level	Custom read/write
0x0017A86C	0x7FDC7D73	CSRRCI (rd=x26, csr=0x7FD, rs1/x=24)	Machine-Level	Custom read/write
0x0017A95C	0xF9B46B73	CSRRSI (rd=x22, csr=0xF9B, rs1/x=8)	Machine-Level	Standard read/write
0x0017AB7C	0x96E0FDF3	CSRRCI (rd=x27, csr=0x96E, rs1/x=1)	Supervisor-Level	Standard read/write
0x0017ABCC	0xEF00B8F3	CSRRC (rd=x17, csr=0xEF0, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0017ACEC	0xAE87E6F3	CSRRSI (rd=x13, csr=0xAE8, rs1/x=15)	Hypervisor and VS	Custom read/write
0x0017AD14	0x8BDA95F3	CSRRW (rd=x11, csr=0x8BD, rs1/x=21)	Unprivileged and User-Level	Custom read/write
0x0017AF74	0x8712B5F3	CSRRC (rd=x11, csr=0x871, rs1/x=5)	Unprivileged and User-Level	Custom read/write
0x0017B0E8	0xDAE7B473	CSRRC (rd=x8, csr=0xDAE, rs1/x=15)	Supervisor-Level	Standard read-only
0x0017B2D4	0x1E8F6573	CSRRSI (rd=x10, csr=0x1E8, rs1/x=30)	Supervisor-Level	Standard read/write
0x0017B310	0x62AED573	CSRRWI (rd=x10, csr=0x62A, rs1/x=29)	Hypervisor and VS	Standard read/write
0x0017B324	0x933D9EF3	CSRRW (rd=x29, csr=0x933, rs1/x=27)	Supervisor-Level	Standard read/write
0x0017B344	0x2F002FF3	CSRRS (rd=x31, csr=0x2F0, rs1/x=0)	Hypervisor and VS	Standard read/write
0x0017B578	0xC7735E73	CSRRWI (rd=x28, csr=0xC77, rs1/x=6)	Unprivileged and User-Level	Standard read-only
0x0017B588	0x863D9CF3	CSRRW (rd=x25, csr=0x863, rs1/x=27)	Unprivileged and User-Level	Custom read/write
0x0017B5BC	0x438C63F3	CSRRSI (rd=x7, csr=0x438, rs1/x=24)	Unprivileged and User-Level	Standard read/write
0x0017BA24	0xABB22573	CSRRS (rd=x10, csr=0xABB, rs1/x=4)	Hypervisor and VS	Standard read/write
0x0017BB08	0x1D4EFBF3	CSRRCI (rd=x23, csr=0x1D4, rs1/x=29)	Supervisor-Level	Standard read/write
0x0017BB1C	0xE6EC12F3	CSRRW (rd=x5, csr=0xE6E, rs1/x=24)	Hypervisor and VS	Standard read-only
0x0017BD74	0xE953E9F3	CSRRSI (rd=x19, csr=0xE95, rs1/x=7)	Hypervisor and VS	Standard read/write
0x0017BF0C	0x8FB15873	CSRRWI (rd=x16, csr=0x8FB, rs1/x=2)	Unprivileged and User-Level	Custom read/write
0x0017C41C	0xC7FB98F3	CSRRW (rd=x17, csr=0xC7F, rs1/x=23)	Unprivileged and User-Level	Standard read-only
0x0017C514	0x95C16273	CSRRSI (rd=x4, csr=0x95C, rs1/x=2)	Supervisor-Level	Standard read/write
0x0017C590	0x5F05E373	CSRRSI (rd=x6, csr=0x5F0, rs1/x=11)	Supervisor-Level	Custom read/write
0x0017CC4C	0xB23395F3	CSRRW (rd=x11, csr=0xB23, rs1/x=7)	Machine-Level	Standard read/write
0x0017CCE8	0x7C193573	CSRRC (rd=x10, csr=0x7C1, rs1/x=18)	Machine-Level	Custom read/write
0x0017D0D0	0x70D9A5F3	CSRRS (rd=x11, csr=0x70D, rs1/x=19)	Machine-Level	Standard read/write
0x0017D558	0x8761DE73	CSRRWI (rd=x28, csr=0x876, rs1/x=3)	Unprivileged and User-Level	Custom read/write
0x0017DAF8	0x0F461473	CSRRW (rd=x8, csr=0x0F4, rs1/x=12)	Unprivileged and User-Level	Standard read/write
0x0017DB14	0xED9F9DF3	CSRRW (rd=x27, csr=0xED9, rs1/x=31)	Hypervisor and VS	Custom read/write
0x0017DCF4	0xB0BD9673	CSRRW (rd=x12, csr=0xB0B, rs1/x=27)	Machine-Level	Standard read/write
0x0017E0DC	0x9EB17AF3	CSRRCI (rd=x21, csr=0x9EB, rs1/x=2)	Supervisor-Level	Custom read/write
0x0017E23C	0x97729773	CSRRW (rd=x14, csr=0x977, rs1/x=5)	Supervisor-Level	Standard read/write
0x0017E3C0	0xE26DDFF3	CSRRWI (rd=x31, csr=0xE26, rs1/x=27)	Hypervisor and VS	Standard read-only
0x0017E750	0xD6B6FBF3	CSRRCI (rd=x23, csr=0xD6B, rs1/x=13)	Supervisor-Level	Standard read-only
0x0017E754	0xD7B63C73	CSRRC (rd=x24, csr=0xD7B, rs1/x=12)	Supervisor-Level	Standard read-only
0x0017E9D0	0x2619BE73	CSRRC (rd=x28, csr=0x261, rs1/x=19)	Hypervisor and VS	Standard read/write
0x0017EAD8	0x7B683473	CSRRC (rd=x8, csr=0x7B6, rs1/x=16)	Machine-Level	Debug-mode-only CSRs
0x0017EB60	0xECF7D473	CSRRWI (rd=x8, csr=0xECF, rs1/x=15)	Hypervisor and VS	Custom read/write
0x0017EE24	0x2B713AF3	CSRRC (rd=x21, csr=0x2B7, rs1/x=2)	Hypervisor and VS	Standard read/write
0x0017EF2C	0xF8B3AFF3	CSRRS (rd=x31, csr=0xF8B, rs1/x=7)	Machine-Level	Standard read/write
0x0017EFAC	0x1F8E3F73	CSRRC (rd=x30, csr=0x1F8, rs1/x=28)	Supervisor-Level	Standard read/write
0x0017F444	0x9094E873	CSRRSI (rd=x16, csr=0x909, rs1/x=9)	Supervisor-Level	Standard read/write
0x0017FA24	0xA03D3EF3	CSRRC (rd=x29, csr=0xA03, rs1/x=26)	Hypervisor and VS	Standard read/write
0x0017FA88	0x987D96F3	CSRRW (rd=x13, csr=0x987, rs1/x=27)	Supervisor-Level	Standard read/write
0x0017FD90	0xA9342BF3	CSRRS (rd=x23, csr=0xA93, rs1/x=8)	Hypervisor and VS	Standard read/write
0x0017FE38	0x877EEA73	CSRRSI (rd=x20, csr=0x877, rs1/x=29)	Unprivileged and User-Level	Custom read/write
0x001803B0	0xB56CA673	CSRRS (rd=x12, csr=0xB56, rs1/x=25)	Machine-Level	Standard read/write
0x001803D4	0x51BF6673	CSRRSI (rd=x12, csr=0x51B, rs1/x=30)	Supervisor-Level	Standard read/write
0x00180800	0x417C1FF3	CSRRW (rd=x31, csr=0x417, rs1/x=24)	Unprivileged and User-Level	Standard read/write
0x00180C74	0x60AFE273	CSRRSI (rd=x4, csr=0x60A, rs1/x=31)	Hypervisor and VS	Standard read/write
0x00180E58	0x96933D73	CSRRC (rd=x26, csr=0x969, rs1/x=6)	Supervisor-Level	Standard read/write
0x00181308	0xC7E1F973	CSRRCI (rd=x18, csr=0xC7E, rs1/x=3)	Unprivileged and User-Level	Standard read-only
0x001813C4	0x91A051F3	CSRRWI (rd=x3, csr=0x91A, rs1/x=0)	Supervisor-Level	Standard read/write
0x00181910	0xA5ACFA73	CSRRCI (rd=x20, csr=0xA5A, rs1/x=25)	Hypervisor and VS	Standard read/write
0x00181A48	0xE9CEE6F3	CSRRSI (rd=x13, csr=0xE9C, rs1/x=29)	Hypervisor and VS	Standard read/write
0x00181B84	0x9F751873	CSRRW (rd=x16, csr=0x9F7, rs1/x=10)	Supervisor-Level	Custom read/write
0x00181CC0	0x1C4C1873	CSRRW (rd=x16, csr=0x1C4, rs1/x=24)	Supervisor-Level	Standard read/write
0x00181E80	0xD8FC1673	CSRRW (rd=x12, csr=0xD8F, rs1/x=24)	Supervisor-Level	Standard read-only
0x00181EE4	0x42C1EB73	CSRRSI (rd=x22, csr=0x42C, rs1/x=3)	Unprivileged and User-Level	Standard read/write
0x00181F38	0x9683E5F3	CSRRSI (rd=x11, csr=0x968, rs1/x=7)	Supervisor-Level	Standard read/write
0x00182158	0x1DC3F173	CSRRCI (rd=x2, csr=0x1DC, rs1/x=7)	Supervisor-Level	Standard read/write
0x00182184	0xEE8475F3	CSRRCI (rd=x11, csr=0xEE8, rs1/x=8)	Hypervisor and VS	Custom read/write
0x0018218C	0xFA83B5F3	CSRRC (rd=x11, csr=0xFA8, rs1/x=7)	Machine-Level	Standard read/write
0x00182390	0xCABD64F3	CSRRSI (rd=x9, csr=0xCAB, rs1/x=26)	Unprivileged and User-Level	Standard read-only
0x001826E4	0x6A539DF3	CSRRW (rd=x27, csr=0x6A5, rs1/x=7)	Hypervisor and VS	Standard read/write
0x00182844	0x7D581E73	CSRRW (rd=x28, csr=0x7D5, rs1/x=16)	Machine-Level	Custom read/write
0x00182B28	0x247C3CF3	CSRRC (rd=x25, csr=0x247, rs1/x=24)	Hypervisor and VS	Standard read/write
0x00182C6C	0xE16BD9F3	CSRRWI (rd=x19, csr=0xE16, rs1/x=23)	Hypervisor and VS	Standard read-only
0x00182CD0	0x5396D3F3	CSRRWI (rd=x7, csr=0x539, rs1/x=13)	Supervisor-Level	Standard read/write
0x00182FB0	0xF971E1F3	CSRRSI (rd=x3, csr=0xF97, rs1/x=3)	Machine-Level	Standard read/write
0x00183160	0xA492EF73	CSRRSI (rd=x30, csr=0xA49, rs1/x=5)	Hypervisor and VS	Standard read/write
0x001831C4	0xEBACEDF3	CSRRSI (rd=x27, csr=0xEBA, rs1/x=25)	Hypervisor and VS	Standard read/write
0x00183248	0xAF50FDF3	CSRRCI (rd=x27, csr=0xAF5, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00183274	0xEE806BF3	CSRRSI (rd=x23, csr=0xEE8, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00183514	0x0EE15A73	CSRRWI (rd=x20, csr=0x0EE, rs1/x=2)	Unprivileged and User-Level	Standard read/write
0x001835C4	0x5AAF6573	CSRRSI (rd=x10, csr=0x5AA, rs1/x=30)	Supervisor-Level	Standard read/write
0x00183620	0x10FEDD73	CSRRWI (rd=x26, csr=0x10F, rs1/x=29)	Supervisor-Level	Standard read/write
0x00183E38	0x637918F3	CSRRW (rd=x17, csr=0x637, rs1/x=18)	Hypervisor and VS	Standard read/write
0x00183EB8	0xCDFDBBF3	CSRRC (rd=x23, csr=0xCDF, rs1/x=27)	Unprivileged and User-Level	Custom read-only
0x001840A4	0x0DA6DDF3	CSRRWI (rd=x27, csr=0x0DA, rs1/x=13)	Unprivileged and User-Level	Standard read/write
0x001840E4	0xD187D5F3	CSRRWI (rd=x11, csr=0xD18, rs1/x=15)	Supervisor-Level	Standard read-only
0x00184200	0xB2A51FF3	CSRRW (rd=x31, csr=0xB2A, rs1/x=10)	Machine-Level	Standard read/write
0x00184460	0x47A01B73	CSRRW (rd=x22, csr=0x47A, rs1/x=0)	Unprivileged and User-Level	Standard read/write
0x00184510	0xD106BB73	CSRRC (rd=x22, csr=0xD10, rs1/x=13)	Supervisor-Level	Standard read-only
0x00184870	0x9057F273	CSRRCI (rd=x4, csr=0x905, rs1/x=15)	Supervisor-Level	Standard read/write
0x00184884	0x93391C73	CSRRW (rd=x24, csr=0x933, rs1/x=18)	Supervisor-Level	Standard read/write
0x00184D08	0xCE35E2F3	CSRRSI (rd=x5, csr=0xCE3, rs1/x=11)	Unprivileged and User-Level	Custom read-only
0x00184D10	0xC57DE1F3	CSRRSI (rd=x3, csr=0xC57, rs1/x=27)	Unprivileged and User-Level	Standard read-only
0x00184E94	0xA10E1573	CSRRW (rd=x10, csr=0xA10, rs1/x=28)	Hypervisor and VS	Standard read/write
0x00184F94	0x605E6073	CSRRSI (rd=x0, csr=0x605, rs1/x=28)	Hypervisor and VS	Standard read/write
0x00185084	0x144FB3F3	CSRRC (rd=x7, csr=0x144, rs1/x=31)	Supervisor-Level	Standard read/write
0x0018514C	0x1D26BFF3	CSRRC (rd=x31, csr=0x1D2, rs1/x=13)	Supervisor-Level	Standard read/write
0x00185250	0x383A22F3	CSRRS (rd=x5, csr=0x383, rs1/x=20)	Machine-Level	Standard read/write
0x0018535C	0xE7267AF3	CSRRCI (rd=x21, csr=0xE72, rs1/x=12)	Hypervisor and VS	Standard read-only
0x00185664	0x0A3A3EF3	CSRRC (rd=x29, csr=0x0A3, rs1/x=20)	Unprivileged and User-Level	Standard read/write
0x00185AB4	0xD332FD73	CSRRCI (rd=x26, csr=0xD33, rs1/x=5)	Supervisor-Level	Standard read-only
0x00185B28	0x6A90BDF3	CSRRC (rd=x27, csr=0x6A9, rs1/x=1)	Hypervisor and VS	Standard read/write
0x00185E9C	0xE823B973	CSRRC (rd=x18, csr=0xE82, rs1/x=7)	Hypervisor and VS	Standard read/write
0x00185ED0	0xC23AA473	CSRRS (rd=x8, csr=0xC23, rs1/x=21)	Unprivileged and User-Level	Standard read-only
0x00185F10	0x6827A073	CSRRS (rd=x0, csr=0x682, rs1/x=15)	Hypervisor and VS	Standard read/write
0x00185F14	0x9430F7F3	CSRRCI (rd=x15, csr=0x943, rs1/x=1)	Supervisor-Level	Standard read/write
0x001869C0	0x6A94F573	CSRRCI (rd=x10, csr=0x6A9, rs1/x=9)	Hypervisor and VS	Standard read/write
0x001869E4	0x85FAF073	CSRRCI (rd=x0, csr=0x85F, rs1/x=21)	Unprivileged and User-Level	Custom read/write
0x00186A74	0x1F28E473	CSRRSI (rd=x8, csr=0x1F2, rs1/x=17)	Supervisor-Level	Standard read/write
0x00186D8C	0x41EEB2F3	CSRRC (rd=x5, csr=0x41E, rs1/x=29)	Unprivileged and User-Level	Standard read/write
0x00186E2C	0xA5003FF3	CSRRC (rd=x31, csr=0xA50, rs1/x=0)	Hypervisor and VS	Standard read/write
0x00187150	0xE3C298F3	CSRRW (rd=x17, csr=0xE3C, rs1/x=5)	Hypervisor and VS	Standard read-only
0x001872A0	0x195C57F3	CSRRWI (rd=x15, csr=0x195, rs1/x=24)	Supervisor-Level	Standard read/write
0x0018735C	0x5EFC26F3	CSRRS (rd=x13, csr=0x5EF, rs1/x=24)	Supervisor-Level	Custom read/write
0x001873EC	0x139595F3	CSRRW (rd=x11, csr=0x139, rs1/x=11)	Supervisor-Level	Standard read/write
0x001874B8	0x4FBCB673	CSRRC (rd=x12, csr=0x4FB, rs1/x=25)	Unprivileged and User-Level	Standard read/write
0x00187560	0xD2EB95F3	CSRRW (rd=x11, csr=0xD2E, rs1/x=23)	Supervisor-Level	Standard read-only
0x00187808	0xA81BA473	CSRRS (rd=x8, csr=0xA81, rs1/x=23)	Hypervisor and VS	Standard read/write
0x00187B04	0xB1A6AD73	CSRRS (rd=x26, csr=0xB1A, rs1/x=13)	Machine-Level	Standard read/write
0x00187B5C	0xFBF7AEF3	CSRRS (rd=x29, csr=0xFBF, rs1/x=15)	Machine-Level	Standard read/write
0x00188088	0x11BADF73	CSRRWI (rd=x30, csr=0x11B, rs1/x=21)	Supervisor-Level	Standard read/write
0x001880B0	0xF001EEF3	CSRRSI (rd=x29, csr=0xF00, rs1/x=3)	Machine-Level	Standard read-only
0x00188224	0x2B62F973	CSRRCI (rd=x18, csr=0x2B6, rs1/x=5)	Hypervisor and VS	Standard read/write
0x00188234	0x7C94D3F3	CSRRWI (rd=x7, csr=0x7C9, rs1/x=9)	Machine-Level	Custom read/write
0x00188848	0xAFC52AF3	CSRRS (rd=x21, csr=0xAFC, rs1/x=10)	Hypervisor and VS	Custom read/write
0x00188A08	0x12FDA0F3	CSRRS (rd=x1, csr=0x12F, rs1/x=27)	Supervisor-Level	Standard read/write
0x00188FC8	0x6F692FF3	CSRRS (rd=x31, csr=0x6F6, rs1/x=18)	Hypervisor and VS	Custom read/write
0x001892FC	0xFBB858F3	CSRRWI (rd=x17, csr=0xFBB, rs1/x=16)	Machine-Level	Standard read/write
0x0018945C	0x25CDB5F3	CSRRC (rd=x11, csr=0x25C, rs1/x=27)	Hypervisor and VS	Standard read/write
0x00189614	0x0DA775F3	CSRRCI (rd=x11, csr=0x0DA, rs1/x=14)	Unprivileged and User-Level	Standard read/write
0x00189A20	0x6A9A5273	CSRRWI (rd=x4, csr=0x6A9, rs1/x=20)	Hypervisor and VS	Standard read/write
0x00189A24	0x282E9973	CSRRW (rd=x18, csr=0x282, rs1/x=29)	Hypervisor and VS	Standard read/write
0x00189B1C	0x1B4CFCF3	CSRRCI (rd=x25, csr=0x1B4, rs1/x=25)	Supervisor-Level	Standard read/write
0x00189CD8	0x4A385BF3	CSRRWI (rd=x23, csr=0x4A3, rs1/x=16)	Unprivileged and User-Level	Standard read/write
0x00189FFC	0x3A0A62F3	CSRRSI (rd=x5, csr=0x3A0, rs1/x=20)	Machine-Level	Standard read/write
0x0018A674	0x7D209473	CSRRW (rd=x8, csr=0x7D2, rs1/x=1)	Machine-Level	Custom read/write
0x0018AD54	0xA352E7F3	CSRRSI (rd=x15, csr=0xA35, rs1/x=5)	Hypervisor and VS	Standard read/write
0x0018B2DC	0xCE4C3AF3	CSRRC (rd=x21, csr=0xCE4, rs1/x=24)	Unprivileged and User-Level	Custom read-only
