=== RISC-V System/CSR Instructions Scan Results ===

--- Known CSR Instructions ---
Offset	Instruction	Decoded Instruction	Privilege Level	Use and Accessibility
0x00031928	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000325B0	0xEFD09FF3	CSRRW (rd=x31, csr=0xEFD, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00032C04	0x9387B7F3	CSRRC (rd=x15, csr=0x938, rs1/x=15)	Supervisor-Level	Standard read/write
0x000348DC	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00034A08	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00036E2C	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00037AC8	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00039254	0xEF405EF3	CSRRWI (rd=x29, csr=0xEF4, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0003997C	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00039AE8	0xEF205FF3	CSRRWI (rd=x31, csr=0xEF2, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0003AD58	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0003B37C	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0003B418	0x9379F9F3	CSRRCI (rd=x19, csr=0x937, rs1/x=19)	Supervisor-Level	Standard read/write
0x0003B46C	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0003B4C0	0x1379F9F3	CSRRCI (rd=x19, csr=0x137, rs1/x=19)	Supervisor-Level	Standard read/write
0x0003B53C	0x1379F9F3	CSRRCI (rd=x19, csr=0x137, rs1/x=19)	Supervisor-Level	Standard read/write
0x0003BD40	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0003C0E4	0x1379F9F3	CSRRCI (rd=x19, csr=0x137, rs1/x=19)	Supervisor-Level	Standard read/write
0x0003C1CC	0x93F9F9F3	CSRRCI (rd=x19, csr=0x93F, rs1/x=19)	Supervisor-Level	Standard read/write
0x0003C2DC	0x93F7F7F3	CSRRCI (rd=x15, csr=0x93F, rs1/x=15)	Supervisor-Level	Standard read/write
0x0003E5BC	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0003E78C	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0003F0A0	0xEFC0DFF3	CSRRWI (rd=x31, csr=0xEFC, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0003F694	0xEFC05FF3	CSRRWI (rd=x31, csr=0xEFC, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0003FAA0	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0003FF20	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00040848	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00040938	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00040CD8	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00041CD8	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000423C0	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00043D40	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000442D0	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00045A60	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00045BC0	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00047750	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00047A5C	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00048DBC	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00049A3C	0xEF40D873	CSRRWI (rd=x16, csr=0xEF4, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00049E68	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0004AF30	0xEFE0DFF3	CSRRWI (rd=x31, csr=0xEFE, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0004DF48	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0004E0E0	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0004E0EC	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0004F4B8	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00050198	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00051930	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000524EC	0xE39227F3	CSRRS (rd=x15, csr=0xE39, rs1/x=4)	Hypervisor and VS	Standard read-only
0x00053D14	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000540CC	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00055114	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00055D84	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00056438	0xEFD05673	CSRRWI (rd=x12, csr=0xEFD, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0005704C	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000573B0	0x232654F3	CSRRWI (rd=x9, csr=0x232, rs1/x=12)	Hypervisor and VS	Standard read/write
0x000573B4	0x232824F3	CSRRS (rd=x9, csr=0x232, rs1/x=16)	Hypervisor and VS	Standard read/write
0x000573B8	0x232A64F3	CSRRSI (rd=x9, csr=0x232, rs1/x=20)	Hypervisor and VS	Standard read/write
0x00057D98	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00058130	0xEFD09FF3	CSRRW (rd=x31, csr=0xEFD, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0005825C	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00058388	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000583E0	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00058460	0x232C64F3	CSRRSI (rd=x9, csr=0x232, rs1/x=24)	Hypervisor and VS	Standard read/write
0x00058464	0x232E54F3	CSRRWI (rd=x9, csr=0x232, rs1/x=28)	Hypervisor and VS	Standard read/write
0x000584CC	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00059934	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0005993C	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00059CB0	0xE31E97F3	CSRRW (rd=x15, csr=0xE31, rs1/x=29)	Hypervisor and VS	Standard read-only
0x00059FEC	0x232874F3	CSRRCI (rd=x9, csr=0x232, rs1/x=16)	Hypervisor and VS	Standard read/write
0x00059FF8	0x232064F3	CSRRSI (rd=x9, csr=0x232, rs1/x=0)	Hypervisor and VS	Standard read/write
0x0005BA94	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0005BF34	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0005CCE4	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0005D988	0xEFE0DFF3	CSRRWI (rd=x31, csr=0xEFE, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0005F104	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0005F5BC	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000605BC	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00060EA0	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00064A30	0xEFD01FF3	CSRRW (rd=x31, csr=0xEFD, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000654CC	0x93F4F4F3	CSRRCI (rd=x9, csr=0x93F, rs1/x=9)	Supervisor-Level	Standard read/write
0x00065638	0xE39E57F3	CSRRWI (rd=x15, csr=0xE39, rs1/x=28)	Hypervisor and VS	Standard read-only
0x00065D90	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00065FA8	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000660DC	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00067298	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00069448	0xE3F434F3	CSRRC (rd=x9, csr=0xE3F, rs1/x=8)	Hypervisor and VS	Standard read-only
0x000697DC	0x93F9F6F3	CSRRCI (rd=x13, csr=0x93F, rs1/x=19)	Supervisor-Level	Standard read/write
0x00069B7C	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0006ACF8	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0006D3B0	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0006D538	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0006EEA4	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0006F024	0xEF00DB73	CSRRWI (rd=x22, csr=0xEF0, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0006F778	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00070774	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000707CC	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00071010	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00071D9C	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00072C94	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00072D98	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00072E1C	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000737A0	0x93F4F4F3	CSRRCI (rd=x9, csr=0x93F, rs1/x=9)	Supervisor-Level	Standard read/write
0x0007393C	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00075F1C	0xEFE0DFF3	CSRRWI (rd=x31, csr=0xEFE, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00079508	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0007AE60	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0007C9E4	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0007C9EC	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0007C9F4	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0007EA18	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0007F884	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0007FC60	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00080C70	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0008326C	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00083474	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0008460C	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00084CA0	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000856DC	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000888AC	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000889F0	0xEF105B73	CSRRWI (rd=x22, csr=0xEF1, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0008A1B8	0xE31ABAF3	CSRRC (rd=x21, csr=0xE31, rs1/x=21)	Hypervisor and VS	Standard read-only
0x0008C738	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000912EC	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00091638	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00091B20	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00092198	0xEFB0D973	CSRRWI (rd=x18, csr=0xEFB, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000929EC	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00093120	0xE39C57F3	CSRRWI (rd=x15, csr=0xE39, rs1/x=24)	Hypervisor and VS	Standard read-only
0x00093348	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x00094E00	0xEFF01FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00097BA4	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000986DC	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x00098E04	0xEFE01FF3	CSRRW (rd=x31, csr=0xEFE, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0009A410	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x0009A858	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0009C26C	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0009CC98	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0009E4B0	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0009EC4C	0xE3809BF3	CSRRW (rd=x23, csr=0xE38, rs1/x=1)	Hypervisor and VS	Standard read-only
0x0009EDF0	0xEF601973	CSRRW (rd=x18, csr=0xEF6, rs1/x=0)	Hypervisor and VS	Custom read/write
0x0009F1D8	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000A32B0	0xEF20DCF3	CSRRWI (rd=x25, csr=0xEF2, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000A456C	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000A49A8	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000A4E40	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000A6618	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000A7604	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000A79BC	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000A7AEC	0x6FF05FF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000A8CFC	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000AA1B8	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000AA9A8	0xE35E5AF3	CSRRWI (rd=x21, csr=0xE35, rs1/x=28)	Hypervisor and VS	Standard read-only
0x000ABAD8	0x6FF01FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000AC0A8	0xEFF09FF3	CSRRW (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000ACD04	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000ADACC	0xEFF0DFF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000AF6CC	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000AFF00	0xEF501873	CSRRW (rd=x16, csr=0xEF5, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000B0C4C	0x6FF09FF3	CSRRW (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000B0E94	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000B1104	0xE3722CF3	CSRRS (rd=x25, csr=0xE37, rs1/x=4)	Hypervisor and VS	Standard read-only
0x000B29DC	0x6FF0DFF3	CSRRWI (rd=x31, csr=0x6FF, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000B2A14	0xEF2095F3	CSRRW (rd=x11, csr=0xEF2, rs1/x=1)	Hypervisor and VS	Custom read/write
0x000B2D60	0xEFF05FF3	CSRRWI (rd=x31, csr=0xEFF, rs1/x=0)	Hypervisor and VS	Custom read/write
0x000B2DE4	0xEF40D873	CSRRWI (rd=x16, csr=0xEF4, rs1/x=1)	Hypervisor and VS	Custom read/write
